Date,Close,Open,Low,High,Volume,Return,Range,HL_ratio
2010-01-04,3636.8447183955436,3577.2243131759446,3517.603907956345,3666.654921005343,114520.0,,149.0510130489979,0.04098360655737711
2010-01-05,3815.7059340543406,3815.7059340543406,3756.0855288347416,3815.7059340543406,498720.0,0.04918032786885229,59.62040521959898,0.015624999999999976
2010-01-06,3845.5161366641405,3726.275326224942,3726.275326224942,3934.946744493539,112030.0,0.0078125,208.67141826859688,0.054263565891472895
2010-01-07,3756.0855288347416,3756.0855288347416,3756.0855288347416,3845.5161366641405,84210.0,-0.023255813953488413,89.43060782939892,0.02380952380952389
2010-01-08,3577.2243131759446,3785.895731444541,3577.2243131759446,3785.895731444541,216560.0,-0.04761904761904756,208.67141826859643,0.05833333333333324
2010-01-11,3577.2243131759446,3666.654921005343,3547.4141105661447,3666.654921005343,141830.0,0.0,119.24081043919841,0.0333333333333334
2010-01-12,3428.1733001269467,3547.4141105661447,3428.1733001269467,3607.034515785744,187220.0,-0.04166666666666674,178.8612156587974,0.052173913043478314
2010-01-13,3428.1733001269467,3487.7937053465457,3338.7426922975483,3517.603907956345,144410.0,0.0,178.86121565879694,0.052173913043478175
2010-01-14,3487.7937053465457,3547.4141105661447,3487.7937053465457,3547.4141105661447,82900.0,0.017391304347825987,59.62040521959898,0.017094017094017068
2010-01-15,3457.9835027367462,3517.603907956345,3428.1733001269467,3517.603907956345,45490.0,-0.008547008547008517,89.43060782939847,0.0258620689655172
2010-01-18,3338.7426922975483,3457.9835027367462,3338.7426922975483,3457.9835027367462,53650.0,-0.03448275862068961,119.24081043919796,0.03571428571428566
2010-01-19,3487.7937053465457,3428.1733001269467,3338.7426922975483,3487.7937053465457,131950.0,0.044642857142856984,149.05101304899745,0.042735042735042666
2010-01-20,3398.3630975171473,3487.7937053465457,3398.3630975171473,3487.7937053465457,31180.0,-0.02564102564102555,89.43060782939847,0.026315789473684167
2010-01-21,3279.1222870779493,3368.5528949073478,3279.1222870779493,3457.9835027367462,98870.0,-0.03508771929824561,178.86121565879694,0.05454545454545445
2010-01-22,3249.3120844681494,3338.7426922975483,3189.6916792485504,3368.5528949073478,99740.0,-0.00909090909090926,178.8612156587974,0.055045871559633086
2010-01-25,3368.5528949073478,3368.5528949073478,3249.3120844681494,3368.5528949073478,62040.0,0.03669724770642202,119.24081043919841,0.03539823008849565
2010-01-26,3487.7937053465457,3398.3630975171473,3398.3630975171473,3487.7937053465457,58340.0,0.03539823008849541,89.43060782939847,0.025641025641025602
2010-01-27,3368.5528949073478,3428.1733001269467,3368.5528949073478,3428.1733001269467,50960.0,-0.03418803418803418,59.62040521959898,0.01769911504424776
2010-01-28,3308.932489687749,3338.7426922975483,3308.932489687749,3368.5528949073478,29870.0,-0.017699115044247704,59.62040521959898,0.018018018018017987
2010-01-29,3279.1222870779493,3249.3120844681494,3249.3120844681494,3368.5528949073478,51740.0,-0.009009009009009028,119.24081043919841,0.036363636363636445
2010-02-01,3249.3120844681494,3308.932489687749,3249.3120844681494,3308.932489687749,56220.0,-0.00909090909090926,59.620405219599434,0.01834862385321112
2010-02-02,3279.1222870779493,3308.932489687749,3279.1222870779493,3308.932489687749,40850.0,0.009174311926605672,29.81020260979949,0.009090909090909077
2010-02-03,3398.3630975171473,3338.7426922975483,3308.932489687749,3398.3630975171473,34150.0,0.036363636363636376,89.43060782939847,0.026315789473684167
2010-02-04,3398.3630975171473,3368.5528949073478,3368.5528949073478,3428.1733001269467,43580.0,0.0,59.62040521959898,0.01754385964912278
2010-02-05,3308.932489687749,3308.932489687749,3279.1222870779493,3338.7426922975483,78500.0,-0.02631578947368418,59.62040521959898,0.018018018018017987
2010-02-08,3338.7426922975483,3279.1222870779493,3279.1222870779493,3368.5528949073478,27330.0,0.009009009009008917,89.43060782939847,0.026785714285714243
2010-02-09,3279.1222870779493,3338.7426922975483,3279.1222870779493,3338.7426922975483,50380.0,-0.017857142857142794,59.62040521959898,0.018181818181818153
2010-02-10,3338.7426922975483,3338.7426922975483,3308.932489687749,3368.5528949073478,11170.0,0.018181818181818077,59.62040521959898,0.01785714285714283
2010-02-11,3338.7426922975483,3338.7426922975483,3338.7426922975483,3338.7426922975483,18210.0,0.0,0.0,0.0
2010-02-12,3398.3630975171473,3428.1733001269467,3398.3630975171473,3428.1733001269467,17850.0,0.017857142857142794,29.81020260979949,0.00877192982456139
2010-02-22,3398.3630975171473,3398.3630975171473,3398.3630975171473,3428.1733001269467,21940.0,0.0,29.81020260979949,0.00877192982456139
2010-02-23,3279.1222870779493,3368.5528949073478,3279.1222870779493,3368.5528949073478,36860.0,-0.03508771929824561,89.43060782939847,0.027272727272727226
2010-02-24,3189.6916792485504,3219.50188185835,3189.6916792485504,3279.1222870779493,78440.0,-0.027272727272727337,89.43060782939892,0.028037383177570194
2010-02-25,3219.50188185835,3189.6916792485504,3189.6916792485504,3249.3120844681494,46560.0,0.009345794392523255,59.62040521959898,0.01851851851851849
2010-02-26,3159.881476638751,3219.50188185835,3159.881476638751,3249.3120844681494,76240.0,-0.01851851851851849,89.43060782939847,0.028301886792452786
2010-03-01,3279.1222870779493,3159.881476638751,3159.881476638751,3279.1222870779493,50000.0,0.037735849056603765,119.24081043919841,0.036363636363636445
2010-03-02,3219.50188185835,3308.932489687749,3219.50188185835,3308.932489687749,33140.0,-0.0181818181818183,89.43060782939892,0.027777777777777877
2010-03-03,3249.3120844681494,3219.50188185835,3219.50188185835,3249.3120844681494,41050.0,0.0092592592592593,29.81020260979949,0.009174311926605491
2010-03-04,3249.3120844681494,3249.3120844681494,3249.3120844681494,3368.5528949073478,122200.0,0.0,119.24081043919841,0.036697247706422104
2010-03-05,3279.1222870779493,3279.1222870779493,3249.3120844681494,3279.1222870779493,73590.0,0.009174311926605672,29.810202609799944,0.009090909090909214
2010-03-08,3308.932489687749,3308.932489687749,3279.1222870779493,3338.7426922975483,68060.0,0.009090909090909038,59.62040521959898,0.018018018018017987
2010-03-09,3398.3630975171473,3338.7426922975483,3308.932489687749,3398.3630975171473,183740.0,0.027027027027026973,89.43060782939847,0.026315789473684167
2010-03-10,3368.5528949073478,3368.5528949073478,3338.7426922975483,3398.3630975171473,55930.0,-0.00877192982456143,59.62040521959898,0.01769911504424776
2010-03-11,3338.7426922975483,3368.5528949073478,3338.7426922975483,3368.5528949073478,53730.0,-0.008849557522123908,29.81020260979949,0.008928571428571414
2010-03-12,3398.3630975171473,3368.5528949073478,3338.7426922975483,3398.3630975171473,123540.0,0.017857142857142794,59.62040521959898,0.01754385964912278
2010-03-15,3398.3630975171473,3457.9835027367462,3398.3630975171473,3457.9835027367462,89890.0,0.0,59.62040521959898,0.01754385964912278
2010-03-16,3338.7426922975483,3398.3630975171473,3279.1222870779493,3398.3630975171473,64200.0,-0.01754385964912275,119.24081043919796,0.03571428571428566
2010-03-17,3249.3120844681494,3338.7426922975483,3249.3120844681494,3338.7426922975483,85800.0,-0.026785714285714413,89.43060782939892,0.027522935779816612
2010-03-18,3279.1222870779493,3249.3120844681494,3249.3120844681494,3308.932489687749,59700.0,0.009174311926605672,59.620405219599434,0.018181818181818292
